p,d,q,mse
1,0,1,0.0953952466180025
1,0,2,0.09859591446438053
1,0,3,0.09502472423212739
1,0,4,0.0887772794514289
1,0,5,0.08449654187848214
1,0,6,0.09160057644015127
1,0,7,0.0804720414196748
1,0,8,0.08296742408590574
1,0,9,0.08631771564853258
1,0,10,0.08578864947981547
1,1,1,0.14041390091360573
1,1,2,0.1405130526071329
1,1,3,0.13347131244409322
1,1,4,0.14044376904838482
1,1,5,0.1402335511786983
1,1,6,0.14013197891783055
1,1,7,0.13781049576499624
1,1,8,0.1384466873567218
1,1,9,0.1379113894828012
1,1,10,0.138152459795105
1,2,1,0.24471374041333938
1,2,2,0.24242240339520638
1,2,3,0.24720945123884075
1,2,4,0.24664973954747013
1,2,5,0.16852757743519486
1,2,6,0.2500366894457895
1,2,7,0.22854638523055226
1,2,8,0.22339053564446865
1,2,9,0.24463801787533926
1,2,10,0.24464471093276108
2,0,1,0.08285923706914343
2,0,2,0.09974148020913326
2,0,3,0.0499292084848261
2,0,4,0.08166312267594157
2,0,5,0.08580492524229255
2,0,6,0.1369837132206057
2,0,7,0.07865224433347977
2,0,8,0.08311155027425533
2,0,9,0.08177959438128028
2,0,10,0.08552552131514432
2,1,1,0.14041784088547923
2,1,2,0.14058012406488618
2,1,3,0.1399194372772957
2,1,4,0.1338092687829892
2,1,5,0.13972081184395804
2,1,6,0.1406181401513277
2,1,7,0.13734464798584117
2,1,8,0.13863665555137053
2,1,9,0.13780467958901363
2,1,10,0.13829960896728025
2,2,1,0.2454174001695087
2,2,2,0.2500479647642716
2,2,3,0.24504126276344348
2,2,4,0.15315211724369274
2,2,5,0.2450355490869857
2,2,6,0.23973430175392169
2,2,7,0.22134210990166447
2,2,8,0.23424886928481914
2,2,9,0.17707203307429176
2,2,10,0.21378072652457897
3,0,1,0.09869302343136839
3,0,2,0.09691141491427835
3,0,3,0.07628046741399222
3,0,4,0.0507538421201879
3,0,5,0.06916258115200091
3,0,6,0.10603762451499041
3,0,7,0.07889859394798854
3,0,8,0.07531714176576847
3,0,9,0.08174942385391759
3,0,10,0.08564514763606457
3,1,1,0.14044243283305594
3,1,2,0.14038527438305118
3,1,3,0.14050526573755792
3,1,4,0.13456319069667377
3,1,5,0.13683660832867267
3,1,6,0.13921073326135813
3,1,7,0.1387002721143549
3,1,8,0.13877599983956884
3,1,9,0.14016685894024095
3,1,10,0.13978638420741168
3,2,1,0.24478925850628408
3,2,2,0.24593783427898822
3,2,3,0.2474279112762617
3,2,4,0.24789974753324065
3,2,5,0.24993400703398808
3,2,6,0.24911180045276773
3,2,7,0.2449754208903468
3,2,8,0.2466499557698654
3,2,9,0.23659353745080827
3,2,10,0.24843163341197622
4,0,1,0.10013607777954882
4,0,2,0.11864243508026459
4,0,3,0.12820953035961677
4,0,4,0.07888293379965476
4,0,5,0.0761491064557198
4,0,6,0.08218342353877495
4,0,7,0.08312456795536069
4,0,8,0.08502196818561086
4,0,9,0.10783917239056152
4,0,10,0.10561891252362811
4,1,1,0.14028596038901303
4,1,2,0.13374233262482874
4,1,3,0.13344341133947693
4,1,4,0.1388338583531884
4,1,5,0.13577206220290075
4,1,6,0.1396704411387786
4,1,7,0.1399747873224636
4,1,8,0.1394512491142141
4,1,9,0.14007489737909684
4,1,10,0.14010560880849732
4,2,1,0.2229617593025279
4,2,2,0.24930404831466302
4,2,3,0.25028702875524506
4,2,4,0.24869288764323497
4,2,5,0.2503993990951888
4,2,6,0.24734076643813277
4,2,7,0.15348094662200026
4,2,8,0.17226531844005
4,2,9,0.17617916866824984
4,2,10,0.2071471491771024
5,0,1,0.09314172433624464
5,0,2,0.08923930638501833
5,0,3,0.11901741556792197
5,0,4,0.08325313610078283
5,0,5,0.057499364135396844
5,0,6,0.050468724306482665
5,0,7,0.10571484553907039
5,0,8,0.12217178063538711
5,0,9,0.1103301260231966
5,0,10,0.08982319663747666
5,1,1,0.13995470178933114
5,1,2,0.14003449514784422
5,1,3,0.13268800118904536
5,1,4,0.13740365170063393
5,1,5,0.1385453902475019
5,1,6,0.14064397688435598
5,1,7,0.1388325865561421
5,1,8,0.13977793908466232
5,1,9,0.1404188854022246
5,1,10,0.13997157389836656
5,2,1,0.12131938191115045
5,2,2,0.09825298480489517
5,2,3,0.2062114270648361
5,2,4,0.1959804981845109
5,2,5,0.12027669910813743
5,2,6,0.19817816098342317
5,2,7,0.0648889707717683
5,2,8,0.13247013187628295
5,2,9,0.2114460457002024
5,2,10,0.24715368472132276
6,0,1,0.14231736156334132
6,0,2,0.11382869743148043
6,0,3,0.11640141623818828
6,0,4,0.057508012304276206
6,0,5,0.07520441516539668
6,0,6,0.08548864569623975
6,0,7,0.08780677965283555
6,0,8,0.08420106295621095
6,0,9,0.09616569293830773
6,0,10,0.10095458694600046
6,1,1,0.14000318407209414
6,1,2,0.1349567089358686
6,1,3,0.13750431393115953
6,1,4,0.1381640006626511
6,1,5,0.14180521289813933
6,1,6,0.13741391799943356
6,1,7,0.1357108743416624
6,1,8,0.1377741953198836
6,1,9,0.13787124666487385
6,1,10,0.13880836797340768
6,2,1,0.009717789743995842
6,2,2,0.25019534219258854
6,2,3,0.1962624074687416
6,2,4,0.07562738606414675
6,2,5,0.13562273690191418
6,2,6,0.13541393170846275
6,2,7,0.15701273915751673
6,2,8,0.11812008056856733
6,2,9,0.24224241346524958
6,2,10,0.23306344278676747
7,0,1,0.135050528422787
7,0,2,0.11519877557208913
7,0,3,0.09712000037271722
7,0,4,0.0800605951596336
7,0,5,0.0741430806287017
7,0,6,0.07805039525123784
7,0,7,0.05849029848362986
7,0,8,0.1291008870138786
7,0,9,0.07439093516221756
7,0,10,0.0535084031861877
7,1,1,0.1367185103447875
7,1,2,0.1365398625615629
7,1,3,0.13665716936872246
7,1,4,0.14027402562360558
7,1,5,0.13926076384212063
7,1,6,0.13530494089087805
7,1,7,0.13741501605539205
7,1,8,0.1371491575533622
7,1,9,0.1374564534283093
7,1,10,0.13695590791907422
7,2,1,0.18049342230581544
7,2,2,0.1605018224266639
7,2,3,0.09999180790848991
7,2,4,0.2502394835417928
7,2,5,0.11728750050206871
7,2,6,0.13627880682996613
7,2,7,0.1333074003065687
7,2,8,0.13512874180286966
7,2,9,0.14827729616004665
7,2,10,0.15224046935275284
8,0,1,0.07656266787953231
8,0,2,0.0775097334486618
8,0,3,0.08301952042863622
8,0,4,0.08416899076192548
8,0,5,0.08045465485308345
8,0,6,0.11340295650268095
8,0,7,0.07230266191660084
8,0,8,0.1219620033296548
8,0,9,0.06492518674169945
8,0,10,0.06111855940081251
8,1,1,0.1376015320365664
8,1,2,0.13749185483670304
8,1,3,0.137499888261241
8,1,4,0.13915730568807655
8,1,5,0.13853443233052573
8,1,6,0.13637934566540724
8,1,7,0.1372866418178267
8,1,8,0.13432964451104754
8,1,9,0.1356313274860367
8,1,10,0.13527763479218088
8,2,1,0.14960169539106394
8,2,2,0.12284431595215306
8,2,3,0.1669709032902089
8,2,4,0.24771301834052473
8,2,5,0.0769386964581431
8,2,6,0.13358334661785867
8,2,7,0.13894319182852402
8,2,8,0.14446981382602117
8,2,9,0.1537466172498622
8,2,10,0.23149961931013724
9,0,1,0.07465874330140888
9,0,2,0.07616936163352137
9,0,3,0.05227427425578889
9,0,4,0.08918204971958826
9,0,5,0.04127594909558512
9,0,6,0.07779118404003417
9,0,7,0.07324312033628586
9,0,8,0.05529741650858348
9,0,9,0.06798942971501497
9,0,10,0.05981352889942232
9,1,1,0.13650145338503875
9,1,2,0.13531738611296043
9,1,3,0.13641083224891948
9,1,4,0.13946632301345294
9,1,5,0.13907111466714656
9,1,6,0.13331017275558543
9,1,7,0.12840830239784287
9,1,8,0.13596395711329107
9,1,9,0.13480527054929342
9,1,10,0.13420163915273275
9,2,1,0.1188299786557938
9,2,2,0.13845631057391358
9,2,3,0.24391071087377184
9,2,4,0.12028355045810306
9,2,5,0.13252015495892955
9,2,6,0.1203341758249606
9,2,7,0.12664943788949146
9,2,8,0.123706368467222
9,2,9,0.13944901346075625
9,2,10,0.13586800078452685
10,0,1,0.07329680317448516
10,0,2,0.07383807915192313
10,0,3,0.058358010796428196
10,0,4,0.08275231142751335
10,0,5,0.0792345605067059
10,0,6,0.1203714236402608
10,0,7,0.034961011790265145
10,0,8,0.05413606252932
10,0,9,0.05620303562907046
10,0,10,0.059013589758975186
10,1,1,0.13674633396493896
10,1,2,0.13661281267122255
10,1,3,0.1367929356627185
10,1,4,0.14139358137104763
10,1,5,0.13931841709026788
10,1,6,0.13813241669074097
10,1,7,0.13337004182975454
10,1,8,0.13885295806970194
10,1,9,0.13945312203407872
10,1,10,0.13496069571372638
10,2,1,0.09462356710062364
10,2,2,0.07456298310544589
10,2,3,0.20111103252631435
10,2,4,0.19952264185179008
10,2,5,0.04954204366798523
10,2,6,0.22779296066614563
10,2,7,0.24137080032509522
10,2,8,0.23134587438591783
10,2,9,0.14163156598513515
10,2,10,0.13764450071157325
